Distance In Route,Effective Grade Percent,Effective Speed Limit,Elevation
0,0.25,50,0
0.05,0.5,50,0.66
0.1,0.5,50,1.98
0.15,0.5,50,3.3
0.2,0.5,50,4.62
0.25,0.5,50,5.94
0.3,0.5,50,7.26
0.35,0.5,50,8.58
0.4,0.5,50,9.9
0.45,0.5,50,11.22
0.5,0.5,50,12.54
0.55,0.5,50,13.86
0.6,0.5,50,15.18
0.65,0.5,50,16.5
0.7,0.5,50,17.82
0.75,0.5,50,19.14
0.8,0.5,50,20.46
0.85,0.5,50,21.78
0.9,0.5,50,23.1
0.95,0.5,50,24.42
1,0.5,50,25.74
1.05,0.5,50,27.06
1.1,0.5,50,28.38
1.15,0.5,50,29.7
1.2,0.5,50,31.02
1.25,0.5,50,32.34
1.3,0.5,50,33.66
1.35,0.5,50,34.98
1.4,0.5,50,36.3
1.45,0.5,50,37.62
1.5,0.5,50,38.94
1.55,0.5,50,40.26
1.6,0.5,50,41.58
1.65,0.5,50,42.9
1.7,0.5,50,44.22
1.75,0.5,50,45.54
1.8,0.5,50,46.86
1.85,0.5,50,48.18
1.9,0.5,50,49.5
1.95,0.5,50,50.82
2,0.5,50,52.14
2.05,0.5,50,53.46
2.1,0.5,50,54.78
2.15,0.5,50,56.1
2.2,0.5,50,57.42
2.25,0.5,50,58.74
2.3,0.5,50,60.06
2.35,0.5,50,61.38
2.4,0.5,50,62.7
2.45,0.5,50,64.02
2.5,0.5,50,65.34
2.55,0.5,50,66.66
2.6,0.5,50,67.98
2.65,0.5,50,69.3
2.7,0.5,50,70.62
2.75,0.5,50,71.94
2.8,0.5,50,73.26
2.85,0.5,50,74.58
2.9,0.5,50,75.9
2.95,0.5,50,77.22
3,0.5,50,78.54
3.05,0.5,50,79.86
3.1,0.5,50,81.18
3.15,0.5,50,82.5
3.2,0.5,50,83.82
3.25,0.5,50,85.14
3.3,0.5,50,86.46
3.35,0.5,50,87.78
3.4,0.5,50,89.1
3.45,0.5,50,90.42
3.5,0.5,50,91.74
3.55,0.5,50,93.06
3.6,0.5,50,94.38
3.65,0.5,50,95.7
3.7,0.5,50,97.02
3.75,0.5,50,98.34
3.8,0.5,50,99.66
3.85,0.5,50,100.98
3.9,0.5,50,102.3
3.95,0.5,50,103.62
4,0.5,50,104.94
4.05,0.5,50,106.26
4.1,0.5,50,107.58
4.15,0.5,50,108.9
4.2,0.5,50,110.22
4.25,0.5,50,111.54
4.3,0.5,50,112.86
4.35,0.5,50,114.18
4.4,0.5,50,115.5
4.45,0.5,50,116.82
4.5,0.5,50,118.14
4.55,0.5,50,119.46
4.6,0.5,50,120.78
4.65,0.5,50,122.1
4.7,0.5,50,123.42
4.75,0.5,50,124.74
4.8,0.5,50,126.06
4.85,0.5,50,127.38
4.9,0.5,50,128.7
4.95,0.5,50,130.02
5,0.5,50,131.34
5.05,0.5,50,132.66
5.1,0.5,50,133.98
5.15,0.5,50,135.3
5.2,0.5,50,136.62
5.25,0.5,50,137.94
5.3,0.5,50,139.26
5.35,0.5,50,140.58
5.4,0.5,50,141.9
5.45,0.5,50,143.22
5.5,0.5,50,144.54
5.55,0.5,50,145.86
5.6,0.5,50,147.18
5.65,0.5,50,148.5
5.7,0.5,50,149.82
5.75,0.5,50,151.14
5.8,0.5,50,152.46
5.85,0.5,50,153.78
5.9,0.5,50,155.1
5.95,0.5,50,156.42
6,0.5,50,157.74
6.05,0.5,50,159.06
6.1,0.5,50,160.38
6.15,0.5,50,161.7
6.2,0.5,50,163.02
6.25,0.5,50,164.34
6.3,0.5,50,165.66
6.35,0.5,50,166.98
6.4,0.5,50,168.3
6.45,0.5,50,169.62
6.5,0.5,50,170.94
6.55,0.5,50,172.26
6.6,0.5,50,173.58
6.65,0.5,50,174.9
6.7,0.5,50,176.22
6.75,0.5,50,177.54
6.8,0.5,50,178.86
6.85,0.5,50,180.18
6.9,0.5,50,181.5
6.95,0.5,50,182.82
7,0.5,50,184.14
7.05,0.5,50,185.46
7.1,0.5,50,186.78
7.15,0.5,50,188.1
7.2,0.5,50,189.42
7.25,0.5,50,190.74
7.3,0.5,50,192.06
7.35,0.5,50,193.38
7.4,0.5,50,194.7
7.45,0.5,50,196.02
7.5,0.5,50,197.34
7.55,0.5,50,198.66
7.6,0.5,50,199.98
7.65,0.5,50,201.3
7.7,0.5,50,202.62
7.75,0.5,50,203.94
7.8,0.5,50,205.26
7.85,0.5,50,206.58
7.9,0.5,50,207.9
7.95,0.5,50,209.22
8,0.5,50,210.54
8.05,0.5,50,211.86
8.1,0.5,50,213.18
8.15,0.5,50,214.5
8.2,0.5,50,215.82
8.25,0.5,50,217.14
8.3,0.5,50,218.46
8.35,0.5,50,219.78
8.4,0.5,50,221.1
8.45,0.5,50,222.42
8.5,0.5,50,223.74
8.55,0.5,50,225.06
8.6,0.5,50,226.38
8.65,0.5,50,227.7
8.7,0.5,50,229.02
8.75,0.5,50,230.34
8.8,0.5,50,231.66
8.85,0.5,50,232.98
8.9,0.5,50,234.3
8.95,0.5,50,235.62
9,0.5,50,236.94
9.05,0.5,50,238.26
9.1,0.5,50,239.58
9.15,0.5,50,240.9
9.2,0.5,50,242.22
9.25,0.5,50,243.54
9.3,0.5,50,244.86
9.35,0.5,50,246.18
9.4,0.5,50,247.5
9.45,0.5,50,248.82
9.5,0.5,50,250.14
9.55,0.5,50,251.46
9.6,0.5,50,252.78
9.65,0.5,50,254.1
9.7,0.5,50,255.42
9.75,0.5,50,256.74
9.8,0.5,50,258.06
9.85,0.5,50,259.38
9.9,0.5,50,260.7
9.95,0.5,50,262.02
10,0.5,50,263.34
10.05,0.5,50,264.66
10.1,0.5,50,265.98
10.15,0.5,50,267.3
10.2,0.5,50,268.62
10.25,0.5,50,269.94
10.3,0.5,50,271.26
10.35,0.5,50,272.58
10.4,0.5,50,273.9
10.45,0.5,50,275.22
10.5,0.5,50,276.54
10.55,0.5,50,277.86
10.6,0.5,50,279.18
10.65,0.5,50,280.5
10.7,0.5,50,281.82
10.75,-0.5,50,283.14
10.8,-0.5,50,281.82
10.85,-0.5,50,280.5
10.9,-0.5,50,279.18
10.95,-0.5,50,277.86
11,-0.5,50,276.54
11.05,-0.5,50,275.22
11.1,-0.5,50,273.9
11.15,-0.5,50,272.58
11.2,-0.5,50,271.26
11.25,-0.5,50,269.94
11.3,-0.5,50,268.62
11.35,-0.5,50,267.3
11.4,-0.5,50,265.98
11.45,-0.5,50,264.66
11.5,-0.5,50,263.34
11.55,-0.5,50,262.02
11.6,-0.5,50,260.7
11.65,-0.5,50,259.38
11.7,-0.5,50,258.06
11.75,-0.5,50,256.74
11.8,-0.5,50,255.42
11.85,-0.5,50,254.1
11.9,-0.5,50,252.78
11.95,-0.5,50,251.46
12,-0.5,50,250.14
12.05,-0.5,50,248.82
12.1,-0.5,50,247.5
12.15,-0.5,50,246.18
12.2,-0.5,50,244.86
12.25,-0.5,50,243.54
12.3,-0.5,50,242.22
12.35,-0.5,50,240.9
12.4,-0.5,50,239.58
12.45,-0.5,50,238.26
12.5,-0.5,50,236.94
12.55,-0.5,50,235.62
12.6,-0.5,50,234.3
12.65,-0.5,50,232.98
12.7,-0.5,50,231.66
12.75,-0.5,50,230.34
12.8,-0.5,50,229.02
12.85,-0.5,50,227.7
12.9,-0.5,50,226.38
12.95,-0.5,50,225.06
13,-0.5,50,223.74
13.05,-0.5,50,222.42
13.1,-0.5,50,221.1
13.15,-0.5,50,219.78
13.2,-0.5,50,218.46
13.25,-0.5,50,217.14
13.3,-0.5,50,215.82
13.35,-0.5,50,214.5
13.4,-0.5,50,213.18
13.45,-0.5,50,211.86
13.5,-0.5,50,210.54
13.55,-0.5,50,209.22
13.6,-0.5,50,207.9
13.65,-0.5,50,206.58
13.7,-0.5,50,205.26
13.75,-0.5,50,203.94
13.8,-0.5,50,202.62
13.85,-0.5,50,201.3
13.9,-0.5,50,199.98
13.95,-0.5,50,198.66
14,-0.5,50,197.34
14.05,-0.5,50,196.02
14.1,-0.5,50,194.7
14.15,-0.5,50,193.38
14.2,-0.5,50,192.06
14.25,-0.5,50,190.74
14.3,-0.5,50,189.42
14.35,-0.5,50,188.1
14.4,-0.5,50,186.78
14.45,-0.5,50,185.46
14.5,-0.5,50,184.14
14.55,-0.5,50,182.82
14.6,-0.5,50,181.5
14.65,-0.5,50,180.18
14.7,-0.5,50,178.86
14.75,-0.5,50,177.54
14.8,-0.5,50,176.22
14.85,-0.5,50,174.9
14.9,-0.5,50,173.58
14.95,-0.5,50,172.26
15,-0.5,50,170.94
15.05,-0.5,50,169.62
15.1,-0.5,50,168.3
15.15,-0.5,50,166.98
15.2,-0.5,50,165.66
15.25,-0.5,50,164.34
15.3,-0.5,50,163.02
15.35,-0.5,50,161.7
15.4,-0.5,50,160.38
15.45,-0.5,50,159.06
15.5,-0.5,50,157.74
15.55,-0.5,50,156.42
15.6,-0.5,50,155.1
15.65,-0.5,50,153.78
15.7,-0.5,50,152.46
15.75,-0.5,50,151.14
15.8,-0.5,50,149.82
15.85,-0.5,50,148.5
15.9,-0.5,50,147.18
15.95,-0.5,50,145.86
16,-0.5,50,144.54
16.05,-0.5,50,143.22
16.1,-0.5,50,141.9
16.15,-0.5,50,140.58
16.2,-0.5,50,139.26
16.25,-0.5,50,137.94
16.3,-0.5,50,136.62
16.35,-0.5,50,135.3
16.4,-0.5,50,133.98
16.45,-0.5,50,132.66
16.5,-0.5,50,131.34
16.55,-0.5,50,130.02
16.6,-0.5,50,128.7
16.65,-0.5,50,127.38
16.7,-0.5,50,126.06
16.75,-0.5,50,124.74
16.8,-0.5,50,123.42
16.85,-0.5,50,122.1
16.9,-0.5,50,120.78
16.95,-0.5,50,119.46
17,-0.5,50,118.14
17.05,-0.5,50,116.82
17.1,-0.5,50,115.5
17.15,-0.5,50,114.18
17.2,-0.5,50,112.86
17.25,-0.5,50,111.54
17.3,-0.5,50,110.22
17.35,-0.5,50,108.9
17.4,-0.5,50,107.58
17.45,-0.5,50,106.26
17.5,-0.5,50,104.94
17.55,-0.5,50,103.62
17.6,-0.5,50,102.3
17.65,-0.5,50,100.98
17.7,-0.5,50,99.66
17.75,-0.5,50,98.34
17.8,-0.5,50,97.02
17.85,-0.5,50,95.7
17.9,-0.5,50,94.38
17.95,-0.5,50,93.06
18,-0.5,50,91.74
18.05,-0.5,50,90.42
18.1,-0.5,50,89.1
18.15,-0.5,50,87.78
18.2,-0.5,50,86.46
18.25,-0.5,50,85.14
18.3,-0.5,50,83.82
18.35,-0.5,50,82.5
18.4,-0.5,50,81.18
18.45,-0.5,50,79.86
18.5,-0.5,50,78.54
18.55,-0.5,50,77.22
18.6,-0.5,50,75.9
18.65,-0.5,50,74.58
18.7,-0.5,50,73.26
18.75,-0.5,50,71.94
18.8,-0.5,50,70.62
18.85,-0.5,50,69.3
18.9,-0.5,50,67.98
18.95,-0.5,50,66.66
19,-0.5,50,65.34
19.05,-0.5,50,64.02
19.1,-0.5,50,62.7
19.15,-0.5,50,61.38
19.2,-0.5,50,60.06
19.25,-0.5,50,58.74
19.3,-0.5,50,57.42
19.35,-0.5,50,56.1
19.4,-0.5,50,54.78
19.45,-0.5,50,53.46
19.5,-0.5,50,52.14
19.55,-0.5,50,50.82
19.6,-0.5,50,49.5
19.65,-0.5,50,48.18
19.7,-0.5,50,46.86
19.75,-0.5,50,45.54
19.8,-0.5,50,44.22
19.85,-0.5,50,42.9
19.9,-0.5,50,41.58
19.95,-0.5,50,40.26
20,-0.5,50,38.94
20.05,-0.5,25,37.62
20.1,-0.5,25,36.3
20.15,-0.5,25,34.98
20.2,-0.5,25,33.66
20.25,-0.5,25,32.34
20.3,-0.5,25,31.02
20.35,-0.5,25,29.7
20.4,-0.5,25,28.38
20.45,-0.5,25,27.06
20.5,-0.5,25,25.74
20.55,-0.5,25,24.42
20.6,-0.5,25,23.1
20.65,-0.5,25,21.78
20.7,-0.5,25,20.46
20.75,-0.5,25,19.14
20.8,-0.5,25,17.82
20.85,-0.5,25,16.5
20.9,-0.5,25,15.18
20.95,-0.5,25,13.86
